city_he,city_en,zone,region_group,lat,lng
חירן,Hiran,Southern Negev,Beer Sheva / Negev,31.34704,35.06026
קדש ברנע,Kadesh Barneah,Southern Negev,Beer Sheva / Negev,30.90348,34.3988
כפר הנוקדים,Kfar HaNokdim,Southern Negev,Beer Sheva / Negev,31.30488,35.26962
כמהין,Kmehin,Southern Negev,Beer Sheva / Negev,30.91026,34.43165
כסייפה,Kuseife,Southern Negev,Beer Sheva / Negev,31.23477,35.06824
מרעית,Mar'it,Southern Negev,Beer Sheva / Negev,31.28127,35.05344
משאבי שדה,Mashabei Sadeh,Southern Negev,Beer Sheva / Negev,31.00883,34.77757
מרחב עם,Merhav Am,Southern Negev,Beer Sheva / Negev,30.88896,34.82807
מצפה רמון,Mitzpeh Ramon,Southern Negev,Beer Sheva / Negev,30.61539,34.7977
ניצנה,Nitzana,Southern Negev,Beer Sheva / Negev,30.8852,34.42217
קסר א-סר,Qasr Al-Sir,Southern Negev,Beer Sheva / Negev,31.08647,34.99792
רתמים,Retamim,Southern Negev,Beer Sheva / Negev,31.0535,34.68955
רביבים,Revivim,Southern Negev,Beer Sheva / Negev,31.04251,34.71986
אזור תעשייה רותם,Rotem Industrial Zone,Southern Negev,Beer Sheva / Negev,31.0601,35.19502
סעווה,Sa'wa,Southern Negev,Beer Sheva / Negev,31.25103,34.95284
שדה בוקר,Sdeh Boker,Southern Negev,Beer Sheva / Negev,30.87027,34.79149
שאנטי במדבר,Shanti BaMidbar,Southern Negev,Beer Sheva / Negev,30.82983,34.75052
תל ערד,Tel Arad,Southern Negev,Beer Sheva / Negev,31.2837,35.1038
טללים,Tlalim,Southern Negev,Beer Sheva / Negev,30.99049,34.77148
ואדי אל נעם דרום,Wadi El Na'am South,Southern Negev,Beer Sheva / Negev,31.13499,34.82485
ירוחם,Yeruham,Southern Negev,Beer Sheva / Negev,30.99539,34.92384
אילת,Eilat,Eilat,Eilat,29.53716,34.93683
אילות,Eilot,Eilat,Eilat,29.58068,34.96375
אזור תעשייה שחורת,Shchoret Industrial Zone,Eilat,Eilat,29.59891,34.97192
בית אלפא וחפציבה,Beit Alfa And Heftziba,Beit She'an Valley,Galilee,32.51226,35.43704
בית השיטה,Beit HaShita,Beit She'an Valley,Galilee,32.55017,35.4384
בית שאן,Beit She'an,Beit She'an Valley,Galilee,32.49944,35.50057
בית יוסף,Beit Yossef,Beit She'an Valley,Galilee,32.55964,35.55354
עין הנצי'ב,Ein HaNatziv,Beit She'an Valley,Galilee,32.47007,35.50149
גני חוגה,Ganey Hugga,Beit She'an Valley,Galilee,32.51739,35.53924
גשר,Gesher,Beit She'an Valley,Galilee,32.62,35.55206
חמדיה,Hamadia,Beit She'an Valley,Galilee,32.52061,35.5207
חוות עדן,Havat Eden,Beit She'an Valley,Galilee,31.70001,35.141
כפר רופין,Kfar Ruppin,Beit She'an Valley,Galilee,32.45802,35.55665
מעלה גלבוע,Ma'aleh Gilboa,Beit She'an Valley,Galilee,32.47449,35.42227
מעוז חיים,Maoz Haim,Beit She'an Valley,Galilee,32.49258,35.55132
מנחמיה,Menahemia,Beit She'an Valley,Galilee,32.66799,35.556
מירב,Merav,Beit She'an Valley,Galilee,32.45259,35.42169
מסילות,Messilot,Beit She'an Valley,Galilee,32.49483,35.47448
כפר גמילה מלכישוע,Mlkishua Rehabilitation Village,Beit She'an Valley,Galilee,32.43754,35.41585
מולדת,Moledet,Beit She'an Valley,Galilee,32.58587,35.4415
נוה איתן,Neve Eitan,Beit She'an Valley,Galilee,32.49124,35.53234
נווה אור,Neveh Or,Beit She'an Valley,Galilee,32.58821,35.55359
ניר דוד,Nir David,Beit She'an Valley,Galilee,32.50446,35.45595
רחוב,Rechov,Beit She'an Valley,Galilee,32.45011,35.48918
"רשפים, שלוחות, שלפים","Reshafim, Shluchot, Shlafim",Beit She'an Valley,Galilee,32.47723,35.47636
רוויה,Revaya,Beit She'an Valley,Galilee,32.44749,35.47126
שדה אליהו,Sdeh Eliyahu,Beit She'an Valley,Galilee,32.44082,35.5143
שדה נחום,Sdeh Nachum,Beit She'an Valley,Galilee,32.52637,35.48174
שדי תרומות,Sdei Trumot,Beit She'an Valley,Galilee,32.43896,35.48564
טייבה בגלבוע,Taibe (Gilboa),Beit She'an Valley,Galilee,32.60309,35.44406
תל תאומים,Tel Teomim,Beit She'an Valley,Galilee,32.44183,35.49622
טירת צבי,Tirat Zvi,Beit She'an Valley,Galilee,32.4221,35.52738
ירדנה,Yardena,Beit She'an Valley,Galilee,32.56613,35.56396
צומת אלמוג,Almog Junction,Bika'a,Galilee,31.80121,35.45184
החווה של עשהאל,Asa'el's Farm,Bika'a,Galilee,32.30588,35.49184
בתרונות,Bitronot,Bika'a,Galilee,32.31964,35.54198
עינות קדם,Einot Kedem,Bika'a,Galilee,31.9303,35.42898
אש קודש,Esh Kodesh,Bika'a,Galilee,32.06633,35.33639
חוות עמיאל,Havat Amiel,Bika'a,Galilee,32.39125,35.46468
חוות גנות,Havat Ganot,Bika'a,Galilee,32.15814,35.43967
חוות פריאל,Havat Priel,Bika'a,Galilee,32.07907,35.41626
חוות יד השומר,Havat Yad HaShomer,Bika'a,Galilee,32.33229,35.49012
קדם ערבה,Kedem Arava,Bika'a,Galilee,31.80529,35.49959
החווה של מנחם,Menachem's Farm,Bika'a,Galilee,32.22326,35.54088
מצפור פצאל,Mitzpor Fatsa'el,Bika'a,Galilee,32.05593,35.41971
חוות הרשאש,Rashash Farm,Bika'a,Galilee,32.0422,35.40313
שלומציון,Shlomtsiyon,Bika'a,Galilee,32.09822,35.49284
החווה של אורי כהן,Uri Cohen's Farm,Bika'a,Galilee,32.28898,35.51922
החווה של יאיא,Yaya's Farm,Bika'a,Galilee,32.14229,35.41122
ערב אל נעים,Arab Al Naim,Center Galilee,Galilee,32.88752,35.29099
עראבה,Arraba,Center Galilee,Galilee,32.85342,35.33703
עצמון - שגב,Atzmon (Segev),Center Galilee,Galilee,32.86557,35.25145
אבטליון,Avtalion,Center Galilee,Galilee,32.83684,35.35085
בית רימון,Beit Rimon,Center Galilee,Galilee,32.78127,35.32707
ביר אלמכסור,Bir Al-Maksur,Center Galilee,Galilee,32.78516,35.22438
בועיינה-נוג'ידאת,Bu'eine Nujeidat,Center Galilee,Galilee,32.80808,35.36656
דיר חנא,Deir Hanna,Center Galilee,Galilee,32.86283,35.36609
דמיידה,Dmeide,Center Galilee,Galilee,32.81489,35.2279
עילבון,Eilabun,Center Galilee,Galilee,32.83659,35.40118
אשבל,Eshbal,Center Galilee,Galilee,32.87649,35.30466
אשחר,Eshchar,Center Galilee,Galilee,32.8863,35.29929
חנתון,Hanaton,Center Galilee,Galilee,32.7839,35.24454
הררית יחד,Hararit Yachad,Center Galilee,Galilee,32.84658,35.36888
חזון,Hazon,Center Galilee,Galilee,32.90535,35.39614
חוסנייה,Hussniyya,Center Galilee,Galilee,32.90087,35.3191
אעבלין,Ibillin,Center Galilee,Galilee,32.82234,35.18956
כאבול,Kabul,Center Galilee,Galilee,32.87549,35.20292
כלנית,Kalanit,Center Galilee,Galilee,32.87436,35.45768
כאוכב אבו אלהיג'א,Kaukab Abu Al-Hija,Center Galilee,Galilee,32.83088,35.24869
כפר חנניה,Kfar Hanania,Center Galilee,Galilee,32.91455,35.42527
כפר מנדא,Kfar Manda,Center Galilee,Galilee,32.80759,35.2651
קורנית,Koranit,Center Galilee,Galilee,32.84316,35.25302
לוטם וחמדון,Lotem And Hamdon,Center Galilee,Galilee,32.88235,35.35818
מעלה צביה,Ma'aleh Zvia,Center Galilee,Galilee,32.88967,35.33135
מע'אר,Maghar,Center Galilee,Galilee,32.88574,35.41291
מנוף,Manof,Center Galilee,Galilee,32.85279,35.23793
מסד,Massad,Center Galilee,Galilee,32.84351,35.42435
מרכז אזורי משגב,Misgav Regional Center,Center Galilee,Galilee,32.85893,35.25948
מצפה אבי'ב,Mitzpeh Aviv,Center Galilee,Galilee,32.83505,35.20436
מצפה נטופה,Mitzpeh Netofa,Center Galilee,Galilee,32.80242,35.38684
מורן,Moran,Center Galilee,Galilee,32.92066,35.3931
מורשת,Moreshet,Center Galilee,Galilee,32.82666,35.23214
רקפת,Rakefet,Center Galilee,Galilee,32.85642,35.26432
ראס אל-עין,Ras Al-ein,Center Galilee,Galilee,32.91442,35.37151
רומת אל הייב,Rumat Al-Heib,Center Galilee,Galilee,32.77891,35.30415
סכנין,Sakhnin,Center Galilee,Galilee,32.86542,35.30059
סלמה,Salama,Center Galilee,Galilee,32.892,35.36922
שעב,Sha'ab,Center Galilee,Galilee,32.88889,35.23557
שכניה,Shekhanya,Center Galilee,Galilee,32.84884,35.24692
שפרעם,Shfaram,Center Galilee,Galilee,32.80803,35.17044
שורשים,Shorashim,Center Galilee,Galilee,32.89373,35.26026
טמרה,Tamra,Center Galilee,Galilee,32.84704,35.20469
טפחות,Tefahot,Center Galilee,Galilee,32.86753,35.42368
טורעאן,Turan,Center Galilee,Galilee,32.77662,35.37658
"עוזייר, רומאנה","Uzeir, Romana",Center Galilee,Galilee,32.7892,35.31765
יעד,Ya'ad,Center Galilee,Galilee,32.8789,35.24228
יודפת,Yodfat,Center Galilee,Galilee,32.83663,35.27274
יובלים,Yuvalim,Center Galilee,Galilee,32.87773,35.26991
בית סוהר צלמון,Zalmon Prison,Center Galilee,Galilee,32.87171,35.4476
עדי,Adi,HaAmakim,Galilee,32.78274,35.17238
עפולה,Afula,HaAmakim,Galilee,32.61542,35.29702
אחוזת ברק,Ahuzat Barak,HaAmakim,Galilee,32.64324,35.33818
אלון הגליל,Alon HaGalil,HaAmakim,Galilee,32.75974,35.21967
אזור תעשייה אלון התבור,Alon HaTavor Industrial Zone,HaAmakim,Galilee,32.63534,35.36067
אלוני אבא,Alonei Abba,HaAmakim,Galilee,32.72972,35.17071
אלונים,Alonim,HaAmakim,Galilee,32.71629,35.14834
בלפוריה,Balfuria,HaAmakim,Galilee,32.62972,35.29693
בסמת טבעון,Basmat Tab'un,HaAmakim,Galilee,32.74536,35.1492
בית קשת,Beit Keshet,HaAmakim,Galilee,32.71802,35.3955
בית שערים,Beit Shea'rim,HaAmakim,Galilee,32.69461,35.17708
בית לחם הגלילית,Bethlehem of Galilee,HaAmakim,Galilee,32.73438,35.19026
דבוריה,Daburiyya,HaAmakim,Galilee,32.68757,35.37295
דברת,Dovrat,HaAmakim,Galilee,32.64677,35.34982
דחי,Ed-Dahi,HaAmakim,Galilee,32.6211,35.34503
עין דור,Ein Dor,HaAmakim,Galilee,32.65699,35.418
"עין חרוד, תל יוסף","Ein Harod, Tel Yosef",HaAmakim,Galilee,32.55857,35.39419
עין מאהל,Ein Mahil,HaAmakim,Galilee,32.72191,35.35251
גן נר,Gan Ner,HaAmakim,Galilee,32.53107,35.33383
גזית,Gazit,HaAmakim,Galilee,32.63806,35.44694
גניגר,Genigar,HaAmakim,Galilee,32.6638,35.25947
גדעונה,Gidona,HaAmakim,Galilee,32.54932,35.35859
מתחם סקי גלבוע,Gilboa Ski Resort,HaAmakim,Galilee,32.55289,35.33522
גבעת אלה,Givat Ela,HaAmakim,Galilee,32.72099,35.24556
גבת,Gvat,HaAmakim,Galilee,32.67413,35.2128
הסוללים,HaSollelim,HaAmakim,Galilee,32.75084,35.23877
היוגב,HaYogev,HaAmakim,Galilee,32.61055,35.20662
חג'אג'רה,Hajajre,HaAmakim,Galilee,32.74087,35.20483
הרדוף,Harduf,HaAmakim,Galilee,32.76238,35.17451
הושעיה,Hoshaya,HaAmakim,Galilee,32.75833,35.29205
יפעת,Ifat,HaAmakim,Galilee,32.67764,35.2232
אכסאל,Iksal,HaAmakim,Galilee,32.67828,35.31978
אילניה,Ilania,HaAmakim,Galilee,32.75618,35.40773
עילוט,Ilut,HaAmakim,Galilee,32.71902,35.26149
כעביה טבאש,Ka'abiyye Tabbash,HaAmakim,Galilee,32.75438,35.18745
כדורי,Kadoorie,HaAmakim,Galilee,32.70327,35.40818
כפר מצר,Kafr Misr,HaAmakim,Galilee,32.64537,35.42235
כפר ברוך,Kfar Baruch,HaAmakim,Galilee,32.64576,35.19046
תחנת רכבת כפר ברוך,Kfar Baruch Train Station,HaAmakim,Galilee,32.6477,35.20867
כפר גדעון,Kfar Gidon,HaAmakim,Galilee,32.64341,35.29166
כפר החורש,Kfar HaHoresh,HaAmakim,Galilee,32.70166,35.27033
כפר כנא,Kfar Kana,HaAmakim,Galilee,32.74799,35.34273
כפר קיש,Kfar Kish,HaAmakim,Galilee,32.66506,35.44916
כפר תבור,Kfar Tavor,HaAmakim,Galilee,32.68879,35.42329
כפר תקווה,Kfar Tikva,HaAmakim,Galilee,32.70135,35.11599
כפר יחזקאל,Kfar Yechezkel,HaAmakim,Galilee,32.56794,35.35867
כפר יהושע,Kfar Yehoshua,HaAmakim,Galilee,32.68195,35.15332
כפר ח'וואלד,Khawaled Village,HaAmakim,Galilee,32.77009,35.13634
קריית טבעון - בית זייד,Kiryat Tivon - Beit Zaid,HaAmakim,Galilee,32.71324,35.12263
קבוצת גבע,Kvutzat Geva,HaAmakim,Galilee,32.56576,35.37284
מגן שאול,Magen Shaul,HaAmakim,Galilee,32.5202,35.30667
מנשית זבדה,Manshiya Zabda,HaAmakim,Galilee,32.70908,35.19454
משהד,Mashhad,HaAmakim,Galilee,32.74021,35.32121
מרחביה קיבוץ,Merhavia Kibbutz,HaAmakim,Galilee,32.60504,35.3072
מרחביה מושב,Merhavia Moshav,HaAmakim,Galilee,32.60485,35.31541
מרכז חבר,Merkaz Hever,HaAmakim,Galilee,32.54737,35.26681
אזור תעשייה מבואות הגלבוע,Mevuot HaGilboa Industrial Zone,HaAmakim,Galilee,32.56808,35.26696
מגדל העמק,Migdal HaEmek,HaAmakim,Galilee,32.67325,35.24396
